LINK,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=bc7d65215c8334f7,(신입/경력) 컴퓨터 비전 & 머신 러닝 엔지니어,플레이스에이 성남 분당구,,플레이스에이(place_a) 컴퓨터 비전 & 머신러닝 엔지니어 모집 플레이스에이 플레이스에이(place_a)는 네이버 스노우와 인공지능 소프트웨어 기업 알체라가 공동 투자해 설립된 인공지능(AI) 기술 기반 서비스 플랫폼…
https://kr.indeed.com/viewjob?jk=b6b000f15a77f402,"협동로봇, 메카트로닉스, 공정엔지니어 외 신입 정규직",씨엔로봇 대전 중구,,"씨엔로봇(주) 협동로봇, 메카트로닉스, 공정엔지니어 외 신입 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] ㅇ 협동로봇 실습장비와 자동화 실습장비를 연동하여 사용 할 수 있도록 개발 - PLC,…"
https://kr.indeed.com/viewjob?jk=78f5465432356e17,Sr Systems Administrator I,Raytheon Intelligence & Space 대한민국,,Businesses Raytheon Intelligence & Space Clearance type Secret - Current Relocation eligible Yes Ability to Telecommute No…
https://kr.indeed.com/viewjob?jk=96688eea9c1a9e28,Security Engineer (취약점 분석),Toss 서울 강남구,,주요 업무 - 모의해킹 및 취약점 점검 (웹/모바일 앱/바이너리 분석) - 웹/모바일 앱 서비스 보안성 진단 및 검토 - 소스코드 진단 및 시큐어 코딩 가이드 # 자격 요건 - 모의해킹 및 취약점 점검 경력이 있는 분 -…
https://kr.indeed.com/viewjob?jk=b5b88516a299bbb2,(주)신세계아이앤씨 경력사원 상시,신세계아이앤씨 서울 중구,,"○ 모집부문 : 정규직 (계약직 별도 표기) 1. 시스템개발/운영(Web) [정규직, 3년 이상] 직무 시스템개발/운영 (Web) 인원 0명 공통사항 -. 시스템 개발/운영 有 경험자 -. 시스템 분석/설계/프로그래밍 등…"
https://kr.indeed.com/viewjob?jk=955a438bde0d3006,패시브솔루션본부 퀀트운용팀 경력직(기간연장),엔에이치아문디자산운용 대한민국,,NH-Amundi자산운용㈜는 다음과 같이 직원을 채용하고자 합니다. (NH-Amundi자산운용(주)는 국내 최대 네트워크의 농협금융지주와 유럽 최대 자산운용사 아문디(Amundi)의 합작 자산운용사입니다.) 1.…
https://kr.indeed.com/viewjob?jk=7af6301dc691d3ab,Data Scientist,Toss 서울 강남구,,주요 업무 - 토스증권 서비스가 생성하는 다양한 데이터 분석과 이를 기반으로 새로운 서비스의 개발 및 아이디어 도출 - 데이터를 바탕으로 한 고객의 개인화분석과 이를 통한 토스증권 서비스 확장 - 다양한 Data…
https://kr.indeed.com/viewjob?jk=b0363f98a9e40b13,"Python 경력 개발자 (또는 Golang, 경력5년이상)",피넛테크 서울 강남구,"연봉 40,000,000원 - 65,000,000원",[직무내용] [담당업무] ; 대용량 데이터 수집/분석 처리 [자격요건] 1. 학력 : 무관 2. 경력 : 경력 5년 이상 [필수역량] 1. Python 개발자 (or Golang 개발자 가능) 2. 분산처리로 대용량…
https://kr.indeed.com/viewjob?jk=27ea6faf6a8516fd,퀀트 개발자 (Quant Developer),ATZ Inc. 서울,"연봉 30,000,000원 - 40,000,000원",We are looking for a highly motivated junior level quantitative developer. We are rapidly growing Proprietary trading firm…
https://kr.indeed.com/viewjob?jk=2054288dc83a5a88,[진행중]우리은행 AI사업부 전문직(인공지능(AI) 모델링) 채용공고,우리은행 4.5 서울 회현동,,소개 우리은행 AI사업부에서 역량있는 「인공지능(AI) 모델링」전문인력을 모집합니다. 채용내용 모집부문 :인공지능(AI) 모델링 모집인원 : 0명 근무장소 : 우리은행 AI사업부(서울특별시 중구 소공로48…
https://kr.indeed.com/viewjob?jk=00c30d286ee5c97f,[충청권/50명]인공지능(AI) 기본과정+고급과정 훈련생 대,청주대학교산학협력단 청주 상당구,,ICT이노베이션스퀘어 확산 사업 AI(인공지능) 교육생 모집 기본과정 + 고급과정 회사소개 교육대상 : 충청권 도·시민 중 만 18세 이상 AI(인공지능)에 관심 있는 성인 누구나 모집기간 모집기간 교육과정 신청하기 21…
https://kr.indeed.com/viewjob?jk=89d4053c832fee5a,Infra Biz본부 기술지원 계약직,SK텔레콤 4.0 대한민국,,"당사 Infra Biz본부에서 아래 업무를 담당할 계약직을 채용합니다. 근무예정부서 : Infra Biz본부 충원인원 : 1명 근무기간 : 1년 (시용기간 3개월 이후 본채용, 최대 2년까지 근무 가능)…"
https://kr.indeed.com/viewjob?jk=eeb9fe1c361f0758,정보보안 담당자,Nexon 성남 분당구,,"주요업무 - 보안관제 이벤트 분석 및 대응 - 악성코드 분석 및 대응, 침해사고 지원 - 보안 솔루션 운영 지원자격 - 1~5년차 경력자 - 단일 보안 이벤트 분석 또는 상관관계 이벤트 분석 능력 보유 - OS…"
